chapter,hs6_code,description,source_file
07,070110,Seed,0207_2022e.pdf
07,070190,Other,0207_2022e.pdf
07,070200,"Tomatoes, fresh or chilled",0207_2022e.pdf
07,070310,Onions and shallots,0207_2022e.pdf
07,070320,Garlic,0207_2022e.pdf
07,070390,Leeks and other alliaceous vegetables,0207_2022e.pdf
07,070410,Cauliflowers and broccoli,0207_2022e.pdf
07,070420,Brussels sprouts,0207_2022e.pdf
07,070490,Other,0207_2022e.pdf
07,070511,Cabbage lettuce (head lettuce),0207_2022e.pdf
07,070519,Other,0207_2022e.pdf
07,070521,Witloof chicory (Cichorium intybus var. foliosum),0207_2022e.pdf
07,070529,Other,0207_2022e.pdf
07,070610,Carrots and turnips,0207_2022e.pdf
07,070690,Other,0207_2022e.pdf
07,070700,"Cucumbers and gherkins, fresh or chilled",0207_2022e.pdf
07,070810,Peas (Pisum sativum),0207_2022e.pdf
07,070820,"Beans (Vigna spp., Phaseolus spp.)",0207_2022e.pdf
07,070890,Other leguminous vegetables,0207_2022e.pdf
07,070920,Asparagus,0207_2022e.pdf
07,070930,Aubergines (egg-plants),0207_2022e.pdf
07,070940,Celery other than celeriac,0207_2022e.pdf
07,070951,Mushrooms of the genus Agaricus,0207_2022e.pdf
07,070952,Mushrooms of the genus Boletus,0207_2022e.pdf
07,070953,Mushrooms of the genus Cantharellus,0207_2022e.pdf
07,070954,Shiitake (Lentinus edodes),0207_2022e.pdf
07,070955,"Matsutake ( Tricholoma matsutake, Tricholoma magnivelare,",0207_2022e.pdf
07,070956,Truffles (Tuber spp.),0207_2022e.pdf
07,070959,Other,0207_2022e.pdf
07,070960,Fruits of the genus Capsicum or of the genus Pimenta,0207_2022e.pdf
07,070970,"Spinach, New Zealand spinach and orache spinach (garden spinach)",0207_2022e.pdf
07,070991,Globe artichokes,0207_2022e.pdf
07,070992,Olives,0207_2022e.pdf
07,070993,"Pumpkins, squash and gourds (Cucurbita spp.)",0207_2022e.pdf
07,070999,Other,0207_2022e.pdf
07,071010,Potatoes,0207_2022e.pdf
07,071021,Peas (Pisum sativum),0207_2022e.pdf
07,071022,"Beans (Vigna spp., Phaseolus spp.)",0207_2022e.pdf
07,071029,Other,0207_2022e.pdf
07,071030,"Spinach, New Zealand spinach and orache spinach (garden spinach)",0207_2022e.pdf
07,071040,Sweet corn,0207_2022e.pdf
07,071080,Other vegetables,0207_2022e.pdf
07,071090,Mixtures of vegetables,0207_2022e.pdf
07,071120,Olives,0207_2022e.pdf
07,071140,Cucumbers and gherkins,0207_2022e.pdf
07,071151,Mushrooms of the genus Agaricus,0207_2022e.pdf
07,071159,Other,0207_2022e.pdf
07,071190,Other vegetables; mixtures of vegetables,0207_2022e.pdf
07,071220,Onions,0207_2022e.pdf
07,071231,Mushrooms of the genus Agaricus,0207_2022e.pdf
07,071232,Wood ears (Auricularia spp.),0207_2022e.pdf
07,071233,Jelly fungi (Tremella spp.),0207_2022e.pdf
07,071234,Shiitake (Lentinus edodes),0207_2022e.pdf
07,071239,Other,0207_2022e.pdf
07,071290,Other vegetables; mixtures of vegetables,0207_2022e.pdf
07,071310,Peas (Pisum sativum),0207_2022e.pdf
07,071320,Chickpeas (garbanzos),0207_2022e.pdf
07,071331,Beans of the species Vigna mungo (L.) Hepper or Vigna radiata,0207_2022e.pdf
07,071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis),0207_2022e.pdf
07,071333,"Kidney beans, including white pea beans (Phaseolus vulgaris)",0207_2022e.pdf
07,071334,Bambara beans (Vigna subterranea or Voandzeia subterranea),0207_2022e.pdf
07,071335,Cow peas (Vigna unguiculata),0207_2022e.pdf
07,071339,Other,0207_2022e.pdf
07,071340,Lentils,0207_2022e.pdf
07,071350,Broad beans ( Vicia faba var. major ) and horse beans ( Vicia faba,0207_2022e.pdf
07,071360,Pigeon peas (Cajanus cajan),0207_2022e.pdf
07,071390,Other,0207_2022e.pdf
07,071410,Manioc (cassava),0207_2022e.pdf
07,071420,Sweet potatoes,0207_2022e.pdf
07,071430,Yams (Dioscorea spp.),0207_2022e.pdf
07,071440,Taro (Colocasia spp.),0207_2022e.pdf
07,071450,Yautia (Xanthosoma spp.),0207_2022e.pdf
07,071490,Other,0207_2022e.pdf
08,080111,Desiccated,0208_2022e.pdf
08,080112,In the inner shell (endocarp),0208_2022e.pdf
08,080119,Other,0208_2022e.pdf
08,080121,In shell,0208_2022e.pdf
08,080122,Shelled,0208_2022e.pdf
08,080131,In shell,0208_2022e.pdf
08,080132,Shelled,0208_2022e.pdf
08,080211,In shell,0208_2022e.pdf
08,080212,Shelled,0208_2022e.pdf
08,080221,In shell,0208_2022e.pdf
08,080222,Shelled,0208_2022e.pdf
08,080231,In shell,0208_2022e.pdf
08,080232,Shelled,0208_2022e.pdf
08,080241,In shell,0208_2022e.pdf
08,080242,Shelled,0208_2022e.pdf
08,080251,In shell,0208_2022e.pdf
08,080252,Shelled,0208_2022e.pdf
08,080261,In shell,0208_2022e.pdf
08,080262,Shelled,0208_2022e.pdf
08,080270,Kola nuts (Cola spp.),0208_2022e.pdf
08,080280,Areca nuts,0208_2022e.pdf
08,080291,"Pine nuts, in shell",0208_2022e.pdf
08,080292,"Pine nuts, shelled",0208_2022e.pdf
08,080299,Other,0208_2022e.pdf
08,080310,Plantains,0208_2022e.pdf
08,080390,Other,0208_2022e.pdf
08,080410,Dates,0208_2022e.pdf
08,080420,Figs,0208_2022e.pdf
08,080430,Pineapples,0208_2022e.pdf
08,080440,Avocados,0208_2022e.pdf
08,080450,"Guavas, mangoes and mangosteens",0208_2022e.pdf
08,080510,Oranges,0208_2022e.pdf
08,080521,Mandarins (including tangerines and satsumas),0208_2022e.pdf
08,080522,Clementines,0208_2022e.pdf
08,080529,Other,0208_2022e.pdf
08,080540,Grapefruit and pomelos,0208_2022e.pdf
08,080550,"Lemons ( Citrus limon, Citrus limonum ) and limes ( Citrus",0208_2022e.pdf
08,080590,Other,0208_2022e.pdf
08,080610,Fresh,0208_2022e.pdf
08,080620,Dried,0208_2022e.pdf
08,080711,Watermelons,0208_2022e.pdf
08,080719,Other,0208_2022e.pdf
08,080720,Papaws (papayas),0208_2022e.pdf
08,080810,Apples,0208_2022e.pdf
08,080830,Pears,0208_2022e.pdf
08,080840,Quinces,0208_2022e.pdf
08,080910,Apricots,0208_2022e.pdf
08,080921,Sour cherries (Prunus cerasus),0208_2022e.pdf
08,080929,Other,0208_2022e.pdf
08,080930,"Peaches, including nectarines",0208_2022e.pdf
08,080940,Plums and sloes,0208_2022e.pdf
08,081010,Strawberries,0208_2022e.pdf
08,081020,"Raspberries, blackberries, mulberries and loganberries",0208_2022e.pdf
08,081030,"Black, white or red currants and gooseberries",0208_2022e.pdf
08,081040,"Cranberries, bilberries and other fruits of the genus Vaccinium",0208_2022e.pdf
08,081050,Kiwifruit,0208_2022e.pdf
08,081060,Durians,0208_2022e.pdf
08,081070,Persimmons,0208_2022e.pdf
08,081090,Other,0208_2022e.pdf
08,081110,Strawberries,0208_2022e.pdf
08,081120,"Raspberries, blackberries, mulberries, loganberries, black, white or",0208_2022e.pdf
08,081190,Other,0208_2022e.pdf
08,081210,Cherries,0208_2022e.pdf
08,081290,Other,0208_2022e.pdf
08,081310,Apricots,0208_2022e.pdf
08,081320,Prunes,0208_2022e.pdf
08,081330,Apples,0208_2022e.pdf
08,081340,Other fruit,0208_2022e.pdf
08,081350,Mixtures of nuts or dried fruits of this Chapter,0208_2022e.pdf
08,081400,"Peel of citrus fruit or melons (including watermelons), fresh,",0208_2022e.pdf
09,090111,Not decaffeinated,0209_2022e.pdf
09,090112,Decaffeinated,0209_2022e.pdf
09,090121,Not decaffeinated,0209_2022e.pdf
09,090122,Decaffeinated,0209_2022e.pdf
09,090190,Other,0209_2022e.pdf
09,090210,Green tea (not fermented) in immediate packings of a content not,0209_2022e.pdf
09,090220,Other green tea (not fermented),0209_2022e.pdf
09,090230,"Black tea (fermented) and partly fermented tea, in immediate",0209_2022e.pdf
09,090240,Other black tea (fermented) and other partly fermented tea,0209_2022e.pdf
09,090300,Maté,0209_2022e.pdf
09,090411,Neither crushed nor ground,0209_2022e.pdf
09,090412,Crushed or ground,0209_2022e.pdf
09,090421,"Dried, neither crushed nor ground",0209_2022e.pdf
09,090422,Crushed or ground,0209_2022e.pdf
09,090510,Neither crushed nor ground,0209_2022e.pdf
09,090520,Crushed or ground,0209_2022e.pdf
09,090611,Cinnamon (Cinnamomum zeylanicum Blume),0209_2022e.pdf
09,090619,Other,0209_2022e.pdf
09,090620,Crushed or ground,0209_2022e.pdf
09,090710,Neither crushed nor ground,0209_2022e.pdf
09,090720,Crushed or ground,0209_2022e.pdf
09,090811,Neither crushed nor ground,0209_2022e.pdf
09,090812,Crushed or ground,0209_2022e.pdf
09,090821,Neither crushed nor ground,0209_2022e.pdf
09,090822,Crushed or ground,0209_2022e.pdf
09,090831,Neither crushed nor ground,0209_2022e.pdf
09,090832,Crushed or ground,0209_2022e.pdf
09,090921,Neither crushed nor ground,0209_2022e.pdf
09,090922,Crushed or ground,0209_2022e.pdf
09,090931,Neither crushed nor ground,0209_2022e.pdf
09,090932,Crushed or ground,0209_2022e.pdf
09,090961,Neither crushed nor ground,0209_2022e.pdf
09,090962,Crushed or ground,0209_2022e.pdf
09,091011,Neither crushed nor ground,0209_2022e.pdf
09,091012,Crushed or ground,0209_2022e.pdf
09,091020,Saffron,0209_2022e.pdf
09,091030,Turmeric (curcuma),0209_2022e.pdf
09,091091,Mixtures referred to in Note 1 (b) to this Chapter,0209_2022e.pdf
09,091099,Other,0209_2022e.pdf
10,100111,Seed,0210_2022e.pdf
10,100119,Other,0210_2022e.pdf
10,100191,Seed,0210_2022e.pdf
10,100199,Other,0210_2022e.pdf
10,100210,Seed,0210_2022e.pdf
10,100290,Other,0210_2022e.pdf
10,100310,Seed,0210_2022e.pdf
10,100390,Other,0210_2022e.pdf
10,100410,Seed,0210_2022e.pdf
10,100490,Other,0210_2022e.pdf
10,100510,Seed,0210_2022e.pdf
10,100590,Other,0210_2022e.pdf
10,100610,Rice in the husk (paddy or rough),0210_2022e.pdf
10,100620,Husked (brown) rice,0210_2022e.pdf
10,100630,"Semi-milled or wholly milled rice, whether or not polished or",0210_2022e.pdf
10,100640,Broken rice,0210_2022e.pdf
10,100710,Seed,0210_2022e.pdf
10,100790,Other,0210_2022e.pdf
10,100810,Buckwheat,0210_2022e.pdf
10,100821,Seed,0210_2022e.pdf
10,100829,Other,0210_2022e.pdf
10,100830,Canary seeds,0210_2022e.pdf
10,100840,Fonio (Digitaria spp.),0210_2022e.pdf
10,100850,Quinoa (Chenopodium quinoa),0210_2022e.pdf
10,100860,Triticale,0210_2022e.pdf
10,100890,Other cereals,0210_2022e.pdf
11,110100,Wheat or meslin flour,0211_2022e.pdf
11,110220,Maize (corn) flour,0211_2022e.pdf
11,110290,Other,0211_2022e.pdf
11,110311,Of wheat,0211_2022e.pdf
11,110313,Of maize (corn),0211_2022e.pdf
11,110319,Of other cereals,0211_2022e.pdf
11,110320,Pellets,0211_2022e.pdf
11,110412,Of oats,0211_2022e.pdf
11,110419,Of other cereals,0211_2022e.pdf
11,110422,Of oats,0211_2022e.pdf
11,110423,Of maize (corn),0211_2022e.pdf
11,110429,Of other cereals,0211_2022e.pdf
11,110430,"Germ of cereals, whole, rolled, flaked or ground",0211_2022e.pdf
11,110510,"Flour, meal and powder",0211_2022e.pdf
11,110520,"Flakes, granules and pellets",0211_2022e.pdf
11,110610,Of the dried leguminous vegetables of heading 07.13,0211_2022e.pdf
07,110620,Of sago or of roots or tubers of heading 07.14,0211_2022e.pdf
11,110630,Of the products of Chapter 8,0211_2022e.pdf
11,110710,Not roasted,0211_2022e.pdf
11,110720,Roasted,0211_2022e.pdf
11,110811,Wheat starch,0211_2022e.pdf
11,110812,Maize (corn) starch,0211_2022e.pdf
11,110813,Potato starch,0211_2022e.pdf
11,110814,Manioc (cassava) starch,0211_2022e.pdf
11,110819,Other starches,0211_2022e.pdf
11,110820,Inulin,0211_2022e.pdf
11,110900,"Wheat gluten, whether or not dried",0211_2022e.pdf
