chapter,full_code,normalized_code,hs6_prefix,description,source_file
07,0701.10.00,07011000,070110,"3. Heading 0712 covers all dried vegetables of the kinds falling in headings 0701 to 0711, other than - Seed",Chapter 7_2025HTSRev32.pdf
07,0701.90.10,07019010,070190,Other - Yellow (Solano) potatoes,Chapter 7_2025HTSRev32.pdf
07,0701.90.50,07019050,070190,Other,Chapter 7_2025HTSRev32.pdf
07,0702.00.20,07020020,070200,"Tomatoes, fresh or chilled",Chapter 7_2025HTSRev32.pdf
07,0702.00.40,07020040,070200,Other,Chapter 7_2025HTSRev32.pdf
07,0702.00.60,07020060,070200,Other,Chapter 7_2025HTSRev32.pdf
07,0703.10.20,07031020,070310,Onions and shallots - Onion sets,Chapter 7_2025HTSRev32.pdf
07,0703.10.30,07031030,070310,Other - Pearl onions not over 16 mm in diameter,Chapter 7_2025HTSRev32.pdf
07,0703.10.40,07031040,070310,Other,Chapter 7_2025HTSRev32.pdf
07,0703.20.00,07032000,070320,Onions - Garlic,Chapter 7_2025HTSRev32.pdf
07,0703.90.00,07039000,070390,Fresh whole bulbs - Leeks and other alliaceous vegetables,Chapter 7_2025HTSRev32.pdf
07,0704.10.20,07041020,070410,Cauliflowers and broccoli (Brassica oleracea var. botrytis),Chapter 7_2025HTSRev32.pdf
07,0704.10.40,07041040,070410,Other - Not reduced in size,Chapter 7_2025HTSRev32.pdf
07,0704.10.60,07041060,070410,"Other - Cut, sliced or otherwise reduced in size",Chapter 7_2025HTSRev32.pdf
07,0704.20.00,07042000,070420,Other - Brussels sprouts,Chapter 7_2025HTSRev32.pdf
07,0704.90.20,07049020,070490,italica)) - Cabbage,Chapter 7_2025HTSRev32.pdf
07,0704.90.40,07049040,070490,italica)) - Other,Chapter 7_2025HTSRev32.pdf
07,0705.11.20,07051120,070511,Head lettuce (cabbage lettuce),Chapter 7_2025HTSRev32.pdf
07,0705.11.40,07051140,070511,Head lettuce (cabbage lettuce) - Other,Chapter 7_2025HTSRev32.pdf
07,0705.19.20,07051920,070519,Other,Chapter 7_2025HTSRev32.pdf
07,0705.19.40,07051940,070519,Other,Chapter 7_2025HTSRev32.pdf
07,0705.21.00,07052100,070521,Chicory - Witloof chicory (Cichorium intybus var. foliosum),Chapter 7_2025HTSRev32.pdf
07,0705.29.00,07052900,070529,Chicory - Other,Chapter 7_2025HTSRev32.pdf
07,0706.10.05,07061005,070610,Carrots - Reduced in size,Chapter 7_2025HTSRev32.pdf
07,0706.10.10,07061010,070610,Other - Under 10 cm in length,Chapter 7_2025HTSRev32.pdf
07,0706.10.20,07061020,070610,Other,Chapter 7_2025HTSRev32.pdf
07,0706.10.40,07061040,070610,Other - Turnips,Chapter 7_2025HTSRev32.pdf
07,0706.90.20,07069020,070690,Other - Radishes,Chapter 7_2025HTSRev32.pdf
07,0706.90.30,07069030,070690,Other - Beets and horseradish,Chapter 7_2025HTSRev32.pdf
07,0706.90.40,07069040,070690,Other,Chapter 7_2025HTSRev32.pdf
07,0707.00.20,07070020,070700,"Cucumbers, including gherkins, fresh or chilled",Chapter 7_2025HTSRev32.pdf
07,0707.00.40,07070040,070700,Other,Chapter 7_2025HTSRev32.pdf
07,0707.00.50,07070050,070700,Other,Chapter 7_2025HTSRev32.pdf
07,0707.00.60,07070060,070700,Other,Chapter 7_2025HTSRev32.pdf
07,0708.10.20,07081020,070810,Peas (Pisum sativum),Chapter 7_2025HTSRev32.pdf
07,0708.10.40,07081040,070810,Peas (Pisum sativum) - Other,Chapter 7_2025HTSRev32.pdf
07,0708.20.10,07082010,070820,"Beans (Vigna spp., Phaseolus spp.)",Chapter 7_2025HTSRev32.pdf
07,0708.20.20,07082020,070820,"Beans (Vigna spp., Phaseolus spp.) - Cowpeas (other than black-eye peas)",Chapter 7_2025HTSRev32.pdf
07,0708.20.90,07082090,070820,"Beans (Vigna spp., Phaseolus spp.) - Other",Chapter 7_2025HTSRev32.pdf
07,0708.90.05,07089005,070890,Other leguminous vegetables - Chickpeas (garbanzos),Chapter 7_2025HTSRev32.pdf
07,0708.90.15,07089015,070890,Other leguminous vegetables - Lentils,Chapter 7_2025HTSRev32.pdf
07,0708.90.25,07089025,070890,Pigeon peas,Chapter 7_2025HTSRev32.pdf
07,0708.90.30,07089030,070890,Pigeon peas - Other,Chapter 7_2025HTSRev32.pdf
07,0708.90.40,07089040,070890,Pigeon peas - Other,Chapter 7_2025HTSRev32.pdf
07,0709.20.10,07092010,070920,Asparagus,Chapter 7_2025HTSRev32.pdf
07,0709.20.90,07092090,070920,Asparagus - Other,Chapter 7_2025HTSRev32.pdf
07,0709.30.20,07093020,070930,Eggplants (aubergines),Chapter 7_2025HTSRev32.pdf
07,0709.30.40,07093040,070930,Eggplants (aubergines) - Other,Chapter 7_2025HTSRev32.pdf
07,0709.40.20,07094020,070940,Celery other than celeriac - Reduced in size,Chapter 7_2025HTSRev32.pdf
07,0709.40.40,07094040,070940,Other,Chapter 7_2025HTSRev32.pdf
07,0709.40.60,07094060,070940,Other,Chapter 7_2025HTSRev32.pdf
07,0709.51.01,07095101,070951,Mushrooms and truffles - Mushrooms of the genus Agaricus,Chapter 7_2025HTSRev32.pdf
07,0709.52.05,07095205,070952,Mushrooms and truffles - Mushrooms of the genus Boletus,Chapter 7_2025HTSRev32.pdf
07,0709.53.00,07095300,070953,Mushrooms and truffles - Mushrooms of the genus Cantharellus,Chapter 7_2025HTSRev32.pdf
07,0709.54.00,07095400,070954,Mushrooms and truffles - Shiitake (Lentinus edodes),Chapter 7_2025HTSRev32.pdf
07,0709.55.00,07095500,070955,Mushrooms and truffles,Chapter 7_2025HTSRev32.pdf
07,0709.56.00,07095600,070956,Mushrooms and truffles - Truffles (Tuber spp.),Chapter 7_2025HTSRev32.pdf
07,0709.59.11,07095911,070959,Other - Truffles,Chapter 7_2025HTSRev32.pdf
07,0709.59.91,07095991,070959,Other,Chapter 7_2025HTSRev32.pdf
07,0709.60.20,07096020,070960,"Pimenta (e.g., allspice) - Chili peppers",Chapter 7_2025HTSRev32.pdf
07,0709.60.40,07096040,070960,Other,Chapter 7_2025HTSRev32.pdf
07,0709.70.00,07097000,070970,Other,Chapter 7_2025HTSRev32.pdf
07,0709.91.00,07099100,070991,Other - Globe artichokes,Chapter 7_2025HTSRev32.pdf
07,0709.92.00,07099200,070992,Other - Olives,Chapter 7_2025HTSRev32.pdf
07,0709.93.10,07099310,070993,"Pumpkins, squash and gourds (Cucurbita spp.) - Pumpkins",Chapter 7_2025HTSRev32.pdf
07,0709.93.20,07099320,070993,"Pumpkins, squash and gourds (Cucurbita spp.) - Squash",Chapter 7_2025HTSRev32.pdf
07,0709.93.30,07099330,070993,Other - Gourds (Cucurbita spp.),Chapter 7_2025HTSRev32.pdf
07,0709.99.05,07099905,070999,"Other - Jicamas, and breadfruit",Chapter 7_2025HTSRev32.pdf
07,0709.99.10,07099910,070999,Other - Chayote (Sechium edule),Chapter 7_2025HTSRev32.pdf
07,0709.99.14,07099914,070999,Other - Okra,Chapter 7_2025HTSRev32.pdf
07,0709.99.30,07099930,070999,Other - Fiddlehead greens,Chapter 7_2025HTSRev32.pdf
07,0709.99.45,07099945,070999,Other - Sweet corn,Chapter 7_2025HTSRev32.pdf
07,0709.99.90,07099990,070999,Other,Chapter 7_2025HTSRev32.pdf
07,0710.10.00,07101000,071010,"water), frozen - Potatoes",Chapter 7_2025HTSRev32.pdf
07,0710.21.20,07102120,071021,Peas (Pisum sativum),Chapter 7_2025HTSRev32.pdf
07,0710.21.40,07102140,071021,Peas (Pisum sativum) - Other,Chapter 7_2025HTSRev32.pdf
07,0710.22.10,07102210,071022,Lima beans,Chapter 7_2025HTSRev32.pdf
07,0710.22.15,07102215,071022,Lima beans - Other,Chapter 7_2025HTSRev32.pdf
07,0710.22.20,07102220,071022,Lima beans - Cowpeas (other than black-eye peas),Chapter 7_2025HTSRev32.pdf
07,0710.22.25,07102225,071022,Lima beans - String beans (snap beans),Chapter 7_2025HTSRev32.pdf
07,0710.22.37,07102237,071022,Lima beans - Other,Chapter 7_2025HTSRev32.pdf
07,0710.22.40,07102240,071022,Lima beans - Reduced in size,Chapter 7_2025HTSRev32.pdf
07,0710.29.05,07102905,071029,Other - Chickpeas (garbanzos),Chapter 7_2025HTSRev32.pdf
07,0710.29.15,07102915,071029,Other - Lentils,Chapter 7_2025HTSRev32.pdf
07,0710.29.25,07102925,071029,Pigeon peas,Chapter 7_2025HTSRev32.pdf
07,0710.29.30,07102930,071029,Pigeon peas - Other,Chapter 7_2025HTSRev32.pdf
07,0710.29.40,07102940,071029,Pigeon peas - Other,Chapter 7_2025HTSRev32.pdf
07,0710.30.00,07103000,071030,Pigeon peas,Chapter 7_2025HTSRev32.pdf
07,0710.40.00,07104000,071040,Pigeon peas - Sweet corn,Chapter 7_2025HTSRev32.pdf
07,0710.80.15,07108015,071080,Other vegetables,Chapter 7_2025HTSRev32.pdf
07,0710.80.20,07108020,071080,Other vegetables - Mushrooms,Chapter 7_2025HTSRev32.pdf
07,0710.80.40,07108040,071080,Tomatoes,Chapter 7_2025HTSRev32.pdf
07,0710.80.45,07108045,071080,Tomatoes,Chapter 7_2025HTSRev32.pdf
07,0710.80.50,07108050,071080,Tomatoes,Chapter 7_2025HTSRev32.pdf
07,0710.80.60,07108060,071080,Not reduced in size - Fiddlehead greens,Chapter 7_2025HTSRev32.pdf
07,0710.80.65,07108065,071080,Not reduced in size - Brussels sprouts,Chapter 7_2025HTSRev32.pdf
07,0710.80.70,07108070,071080,Not reduced in size - Other,Chapter 7_2025HTSRev32.pdf
07,0710.80.85,07108085,071080,Reduced in size - Brussels sprouts,Chapter 7_2025HTSRev32.pdf
07,0710.80.93,07108093,071080,Reduced in size - Okra,Chapter 7_2025HTSRev32.pdf
07,0710.80.97,07108097,071080,Reduced in size - Other,Chapter 7_2025HTSRev32.pdf
07,0710.90.11,07109011,071090,Mixtures of vegetables,Chapter 7_2025HTSRev32.pdf
07,0710.90.91,07109091,071090,Mixtures of vegetables - Other,Chapter 7_2025HTSRev32.pdf
07,0711.20.18,07112018,071120,"3. Heading 0712 covers all dried vegetables of the kinds falling in headings 0701 to 0711, other than - 5. The aggregate quantity of olives entered under subheadings",Chapter 7_2025HTSRev32.pdf
07,0711.20.28,07112028,071120,or sale as green olives - Other,Chapter 7_2025HTSRev32.pdf
07,0711.20.38,07112038,071120,or sale as green olives - Other,Chapter 7_2025HTSRev32.pdf
07,0711.20.40,07112040,071120,or sale as green olives - Pitted or stuffed,Chapter 7_2025HTSRev32.pdf
07,0711.40.00,07114000,071140,or sale as green olives - Cucumbers including gherkins,Chapter 7_2025HTSRev32.pdf
07,0711.51.00,07115100,071151,Mushrooms and truffles - Mushrooms of the genus Agaricus,Chapter 7_2025HTSRev32.pdf
07,0711.59.10,07115910,071159,Other - Mushrooms,Chapter 7_2025HTSRev32.pdf
07,0711.59.90,07115990,071159,Other,Chapter 7_2025HTSRev32.pdf
07,0711.90.20,07119020,071190,Other vegetables; mixtures of vegetables - Leguminous vegetables,Chapter 7_2025HTSRev32.pdf
07,0711.90.30,07119030,071190,Other vegetables; mixtures of vegetables - Capers,Chapter 7_2025HTSRev32.pdf
07,0711.90.50,07119050,071190,Other vegetables; mixtures of vegetables - Onions,Chapter 7_2025HTSRev32.pdf
07,0711.90.65,07119065,071190,Other vegetables; mixtures of vegetables,Chapter 7_2025HTSRev32.pdf
07,0712.20.20,07122020,071220,Onions - Powder or flour,Chapter 7_2025HTSRev32.pdf
07,0712.20.40,07122040,071220,Onions - Other,Chapter 7_2025HTSRev32.pdf
07,0712.31.10,07123110,071231,Mushrooms of the genus Agaricus - Air dried or sun dried,Chapter 7_2025HTSRev32.pdf
07,0712.31.20,07123120,071231,Mushrooms of the genus Agaricus - Other,Chapter 7_2025HTSRev32.pdf
07,0712.32.00,07123200,071232,Mushrooms of the genus Agaricus - Wood ears (Auricularia spp.),Chapter 7_2025HTSRev32.pdf
07,0712.33.00,07123300,071233,Mushrooms of the genus Agaricus - Jelly fungi (Tremella spp.),Chapter 7_2025HTSRev32.pdf
07,0712.34.10,07123410,071234,Shiitake (Lentinus edodes) - Air dried or sun dried,Chapter 7_2025HTSRev32.pdf
07,0712.34.20,07123420,071234,Shiitake (Lentinus edodes) - Other,Chapter 7_2025HTSRev32.pdf
07,0712.39.11,07123911,071239,Mushrooms - Air dried or sun dried,Chapter 7_2025HTSRev32.pdf
07,0712.39.21,07123921,071239,Mushrooms - Other,Chapter 7_2025HTSRev32.pdf
07,0712.39.40,07123940,071239,Mushrooms - Truffles,Chapter 7_2025HTSRev32.pdf
07,0712.90.10,07129010,071290,Other vegetables; mixtures of vegetables - Carrots,Chapter 7_2025HTSRev32.pdf
07,0712.90.15,07129015,071290,Olives - Not ripe,Chapter 7_2025HTSRev32.pdf
07,0712.90.20,07129020,071290,Olives - Ripe,Chapter 7_2025HTSRev32.pdf
07,0712.90.30,07129030,071290,Olives,Chapter 7_2025HTSRev32.pdf
07,0712.90.40,07129040,071290,Olives - Garlic,Chapter 7_2025HTSRev32.pdf
07,0712.90.60,07129060,071290,"Fennel, marjoram, parsley, savory and tarragon - Crude or not manufactured",Chapter 7_2025HTSRev32.pdf
07,0712.90.65,07129065,071290,Other - Parsley,Chapter 7_2025HTSRev32.pdf
07,0712.90.70,07129070,071290,Other,Chapter 7_2025HTSRev32.pdf
07,0712.90.74,07129074,071290,Tomatoes - In powder,Chapter 7_2025HTSRev32.pdf
07,0712.90.78,07129078,071290,Tomatoes - Other,Chapter 7_2025HTSRev32.pdf
07,0712.90.85,07129085,071290,Tomatoes - Other vegetables; mixtures of vegetables,Chapter 7_2025HTSRev32.pdf
07,0713.10.10,07131010,071310,Peas (Pisum sativum) - Seeds of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.10.20,07131020,071310,Other - Split peas,Chapter 7_2025HTSRev32.pdf
07,0713.10.40,07131040,071310,Other,Chapter 7_2025HTSRev32.pdf
07,0713.20.10,07132010,071320,Chickpeas (garbanzos) - Seeds of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.20.20,07132020,071320,Chickpeas (garbanzos) - Other,Chapter 7_2025HTSRev32.pdf
07,0713.31.10,07133110,071331,Vigna radiata (L.)Wilczek - Seeds of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.31.20,07133120,071331,Other,Chapter 7_2025HTSRev32.pdf
07,0713.31.40,07133140,071331,Other,Chapter 7_2025HTSRev32.pdf
07,0713.32.10,07133210,071332,angularis) - Seeds of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.32.20,07133220,071332,angularis) - Other,Chapter 7_2025HTSRev32.pdf
07,0713.33.10,07133310,071333,vulgaris) - Seeds of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.33.20,07133320,071333,Other,Chapter 7_2025HTSRev32.pdf
07,0713.33.40,07133340,071333,Other,Chapter 7_2025HTSRev32.pdf
07,0713.34.10,07133410,071334,subterranea) - Of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.34.20,07133420,071334,Other,Chapter 7_2025HTSRev32.pdf
07,0713.34.40,07133440,071334,Other,Chapter 7_2025HTSRev32.pdf
07,0713.35.00,07133500,071335,Other - Cowpeas (Vigna unguiculata),Chapter 7_2025HTSRev32.pdf
07,0713.39.11,07133911,071339,Other - Seeds of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.39.21,07133921,071339,Other,Chapter 7_2025HTSRev32.pdf
07,0713.39.41,07133941,071339,Other,Chapter 7_2025HTSRev32.pdf
07,0713.40.10,07134010,071340,Lentils - Seeds of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.40.20,07134020,071340,Lentils - Other,Chapter 7_2025HTSRev32.pdf
07,0713.50.10,07135010,071350,faba var. equina and Vicia faba var. minor) - Seeds of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.50.20,07135020,071350,faba var. equina and Vicia faba var. minor) - Other,Chapter 7_2025HTSRev32.pdf
07,0713.60.10,07136010,071360,Pigeon peas (Cajanus cajan) - Of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.60.60,07136060,071360,Other,Chapter 7_2025HTSRev32.pdf
07,0713.60.80,07136080,071360,Other,Chapter 7_2025HTSRev32.pdf
07,0713.90.11,07139011,071390,Other - Seeds of a kind used for sowing,Chapter 7_2025HTSRev32.pdf
07,0713.90.50,07139050,071390,Other - Guar seeds,Chapter 7_2025HTSRev32.pdf
07,0713.90.61,07139061,071390,Other,Chapter 7_2025HTSRev32.pdf
07,0713.90.81,07139081,071390,Other,Chapter 7_2025HTSRev32.pdf
07,0714.10.10,07141010,071410,Cassava (manioc) - Frozen,Chapter 7_2025HTSRev32.pdf
07,0714.10.20,07141020,071410,Cassava (manioc) - Other,Chapter 7_2025HTSRev32.pdf
07,0714.20.10,07142010,071420,Sweet potatoes - Frozen,Chapter 7_2025HTSRev32.pdf
07,0714.20.20,07142020,071420,Sweet potatoes - Other,Chapter 7_2025HTSRev32.pdf
07,0714.30.10,07143010,071430,Yams (Dioscorea spp.) - Fresh or chilled,Chapter 7_2025HTSRev32.pdf
07,0714.30.20,07143020,071430,Yams (Dioscorea spp.) - Frozen,Chapter 7_2025HTSRev32.pdf
07,0714.30.50,07143050,071430,Other - In the form of pellets,Chapter 7_2025HTSRev32.pdf
07,0714.30.60,07143060,071430,Other,Chapter 7_2025HTSRev32.pdf
07,0714.40.10,07144010,071440,Taro (Colocasia spp.) - Fresh or chilled 01,Chapter 7_2025HTSRev32.pdf
07,0714.40.20,07144020,071440,Taro (Colocasia spp.) - Frozen,Chapter 7_2025HTSRev32.pdf
07,0714.40.50,07144050,071440,Other - In the form of pellets,Chapter 7_2025HTSRev32.pdf
07,0714.40.60,07144060,071440,Other,Chapter 7_2025HTSRev32.pdf
07,0714.50.10,07145010,071450,Yautia (Xanthosoma spp.) - Fresh or chilled,Chapter 7_2025HTSRev32.pdf
07,0714.50.20,07145020,071450,Yautia (Xanthosoma spp.) - Frozen,Chapter 7_2025HTSRev32.pdf
07,0714.50.50,07145050,071450,Other - In the form of pellets,Chapter 7_2025HTSRev32.pdf
07,0714.50.60,07145060,071450,Other,Chapter 7_2025HTSRev32.pdf
07,0714.90.05,07149005,071490,Fresh or chilled - Chinese water chestnuts,Chapter 7_2025HTSRev32.pdf
07,0714.90.39,07149039,071490,Fresh or chilled - Other,Chapter 7_2025HTSRev32.pdf
07,0714.90.41,07149041,071490,Frozen,Chapter 7_2025HTSRev32.pdf
07,0714.90.42,07149042,071490,Frozen - Other mixtures of Chinese water chestnuts,Chapter 7_2025HTSRev32.pdf
07,0714.90.44,07149044,071490,"Frozen - Chinese water chestnuts, not mixed",Chapter 7_2025HTSRev32.pdf
07,0714.90.46,07149046,071490,Frozen - Other,Chapter 7_2025HTSRev32.pdf
07,0714.90.48,07149048,071490,Other - Chinese water chestnuts,Chapter 7_2025HTSRev32.pdf
07,0714.90.51,07149051,071490,Other - In the form of pellets,Chapter 7_2025HTSRev32.pdf
07,0714.90.61,07149061,071490,Other,Chapter 7_2025HTSRev32.pdf
08,0801.11.00,08011100,080111,Coconuts - Desiccated,Chapter 8_2025HTSRev32.pdf
08,0801.12.00,08011200,080112,Coconuts - In the inner shell (endocarp),Chapter 8_2025HTSRev32.pdf
08,0801.19.01,08011901,080119,Coconuts - Other,Chapter 8_2025HTSRev32.pdf
08,0801.21.00,08012100,080121,Brazil nuts - In shell,Chapter 8_2025HTSRev32.pdf
08,0801.22.00,08012200,080122,Brazil nuts - Shelled,Chapter 8_2025HTSRev32.pdf
08,0801.31.00,08013100,080131,Cashew nuts - In shell,Chapter 8_2025HTSRev32.pdf
08,0801.32.00,08013200,080132,Cashew nuts - Shelled,Chapter 8_2025HTSRev32.pdf
08,0802.11.00,08021100,080211,Almonds - In shell,Chapter 8_2025HTSRev32.pdf
08,0802.12.00,08021200,080212,Almonds - Shelled,Chapter 8_2025HTSRev32.pdf
08,0802.21.00,08022100,080221,Hazelnuts or filberts (Corylus spp.) - In shell,Chapter 8_2025HTSRev32.pdf
08,0802.22.00,08022200,080222,Hazelnuts or filberts (Corylus spp.) - Shelled,Chapter 8_2025HTSRev32.pdf
08,0802.31.00,08023100,080231,Walnuts - In shell,Chapter 8_2025HTSRev32.pdf
08,0802.32.00,08023200,080232,Walnuts - Shelled,Chapter 8_2025HTSRev32.pdf
08,0802.41.00,08024100,080241,Chestnuts (Castanea spp.) - In shell,Chapter 8_2025HTSRev32.pdf
08,0802.42.00,08024200,080242,Chestnuts (Castanea spp.) - Shelled,Chapter 8_2025HTSRev32.pdf
08,0802.51.00,08025100,080251,Pistachios - In shell,Chapter 8_2025HTSRev32.pdf
08,0802.52.00,08025200,080252,Pistachios - Shelled,Chapter 8_2025HTSRev32.pdf
08,0802.61.00,08026100,080261,Macadamia nuts - In shell,Chapter 8_2025HTSRev32.pdf
08,0802.62.00,08026200,080262,Macadamia nuts - Shelled,Chapter 8_2025HTSRev32.pdf
08,0802.70.10,08027010,080270,Kola nuts (Cola spp.) - In shell,Chapter 8_2025HTSRev32.pdf
08,0802.70.20,08027020,080270,Kola nuts (Cola spp.) - Shelled,Chapter 8_2025HTSRev32.pdf
08,0802.80.10,08028010,080280,Areca nuts - In shell,Chapter 8_2025HTSRev32.pdf
08,0802.80.20,08028020,080280,Areca nuts - Shelled,Chapter 8_2025HTSRev32.pdf
08,0802.91.10,08029110,080291,"Pine nuts, in shell - Pignolia",Chapter 8_2025HTSRev32.pdf
08,0802.91.90,08029190,080291,"Pine nuts, in shell - Other",Chapter 8_2025HTSRev32.pdf
08,0802.92.10,08029210,080292,"Pine nuts, shelled - Pignolia",Chapter 8_2025HTSRev32.pdf
08,0802.92.90,08029290,080292,"Pine nuts, shelled - Other",Chapter 8_2025HTSRev32.pdf
08,0802.99.10,08029910,080299,Pecans - In shell,Chapter 8_2025HTSRev32.pdf
08,0802.99.15,08029915,080299,Pecans - Shelled,Chapter 8_2025HTSRev32.pdf
08,0802.99.82,08029982,080299,Other - In shell,Chapter 8_2025HTSRev32.pdf
08,0802.99.98,08029998,080299,Other - Shelled,Chapter 8_2025HTSRev32.pdf
08,0803.10.10,08031010,080310,Plantains - Fresh,Chapter 8_2025HTSRev32.pdf
08,0803.10.20,08031020,080310,Plantains - Dried,Chapter 8_2025HTSRev32.pdf
08,0803.90.00,08039000,080390,Plantains - Other,Chapter 8_2025HTSRev32.pdf
08,0804.10.20,08041020,080410,"Whole, with or without pits",Chapter 8_2025HTSRev32.pdf
08,0804.10.40,08041040,080410,Other - With pits,Chapter 8_2025HTSRev32.pdf
08,0804.10.60,08041060,080410,Other - With pits removed,Chapter 8_2025HTSRev32.pdf
08,0804.10.80,08041080,080410,Other,Chapter 8_2025HTSRev32.pdf
